subject, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
16, test, 1, 1, 1, 2, 1, 2, 1, 0, 1, left, 1, 1, 0, 0, 0, 0.2844303000019863, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 2, 2, 3, 3, 2, 0, 0, right, 2, 1, 0, 0, 0, 0.6134642000542954, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 3, 3, 1, 3, 1, 0, 1, left, 1, 1, 0, 0, 0, 0.49639109999407083, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 4, 2, 3, 3, 2, 0, 0, right, 2, 1, 0, 0, 0, 0.44485059997532517, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 5, 2, 1, 2, 1, 0, 1, left, 1, 1, 0, 0, 0, 0.0014527000021189451, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 6, 1, 3, 3, 1, 1, 0, right, 2, 1, 0, 0, 0, 0.47272639989387244, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 7, 1, 2, 1, 2, 1, 0, left, 1, 1, 0, 0, 0, 0.7939446000382304, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 8, 4, 2, 2, 4, 0, 0, right, 2, 1, 0, 0, 0, 0.5355527999345213, 0, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 9, 1, 3, 1, 3, 1, 0, left, 1, 1, 0, 0, 0, 0.6456612999318168, 1, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 10, 4, 3, 3, 4, 0, 0, right, 2, 1, 0, 0, 0, 0.4326069999951869, 0, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 11, 1, 2, 1, 2, 1, 0, left, 1, 1, 0, 0, 0, 0.40727680001873523, 1, 4.000000,4.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 12, 1, 2, 2, 1, 1, 0, right, 2, 1, 0, 0, 0, 0.30355659988708794, 1, 5.000000,5.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 13, 2, 1, 2, 1, 0, 1, left, 1, 1, 0, 0, 0, 0.3840134999481961, 0, 5.000000,5.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 14, 1, 3, 1, 3, 1, 0, left, 1, 1, 0, 0, 0, 0.5738454000093043, 1, 6.000000,6.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 15, 2, 1, 1, 2, 0, 1, right, 2, 1, 0, 0, 0, 0.7600230999523774, 0, 6.000000,6.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 16, 2, 4, 2, 4, 0, 0, left, 1, 1, 0, 0, 0, 0.47636769991368055, 0, 6.000000,6.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 17, 4, 3, 4, 3, 0, 0, left, 1, 1, 0, 0, 0, 0.671007200027816, 0, 6.000000,6.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 18, 4, 2, 2, 4, 0, 0, right, 2, 1, 0, 0, 0, 0.5118297000881284, 0, 6.000000,6.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 19, 1, 3, 1, 3, 1, 0, left, 1, 1, 0, 0, 0, 0.38885089999530464, 1, 7.000000,7.000000,1.000000,6.000000,0.500000,1.000000
16, test, 1, 1, 20, 1, 4, 1, 4, 1, 0, left, 1, 1, 0, 0, 0, 0.7974010000471026, 1, 8.000000,8.000000,1.000000,6.000000,0.500000,1.000000
