subject, block_type, block, delay_condition, trial, chosen, unchosen, offer_right_image, offer_left_image, exp_value_right, exp_value_left, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
11, practice, 1, 1, 1, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.400221000003512, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000
11, practice, 1, 1, 2, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8969972999911988, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
11, practice, 1, 1, 3, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6568725000106497, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
11, practice, 1, 1, 4, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.6743140000035055, 1, 3.000000,3.000000,1.000000,6.000000,0.500000,1.000000
11, practice, 1, 1, 5, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 2.158311199993477, 1, 4.000000,4.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 1, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6078347000002395, 0, 0.000000,4.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 2, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.4425677999970503, 0, 0.000000,4.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 3, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.18957420000515413, 1, 1.000000,5.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 4, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9230173000105424, 1, 2.000000,6.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 5, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5588146000081906, 0, 2.000000,6.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 6, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6262591999984579, 1, 3.000000,7.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 7, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6041226999950595, 1, 4.000000,8.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 8, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5813572999904864, 0, 4.000000,8.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 9, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.20356890000402927, 1, 5.000000,9.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 10, 3, 1, 3, 1, 0.55, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.3756699999939883, 0, 5.000000,9.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 11, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5856402999925194, 1, 6.000000,10.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 12, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.36709349999728147, 0, 6.000000,10.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 13, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.41260689999035094, 1, 7.000000,11.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 14, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.38499310000042897, 1, 8.000000,12.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 15, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6748745000077179, 0, 8.000000,12.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 16, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.3527849999954924, 1, 9.000000,13.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 17, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5313800000003539, 0, 9.000000,13.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 18, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.35769630000868347, 1, 10.000000,14.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 19, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.3137529999949038, 0, 10.000000,14.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 20, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.4758243999967817, 1, 11.000000,15.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 21, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0918369999999413, 0, 11.000000,15.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 22, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.4287696999963373, 0, 11.000000,15.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 23, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.4238410000107251, 1, 12.000000,16.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 24, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.4994522000051802, 0, 12.000000,16.000000,1.000000,6.000000,0.500000,1.000000
11, test, 1, 7, 25, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.4561344999965513, 0, 12.000000,16.000000,1.000000,6.000000,0.500000,1.000000
11, test, 2, 1, 1, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 5.610505499993451, 1, 1.000000,17.000000,1.000000,6.000000,0.500000,1.000000
11, test, 2, 1, 2, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.527880699999514, 1, 2.000000,18.000000,1.000000,6.000000,0.500000,1.000000
11, test, 2, 1, 3, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5628539000026649, 1, 3.000000,19.000000,1.000000,6.000000,0.500000,1.000000
11, test, 2, 1, 4, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.2757958000001963, 1, 4.000000,20.000000,1.000000,6.000000,0.500000,1.000000
11, test, 2, 1, 5, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.33328369999071583, 0, 4.000000,20.000000,1.000000,6.000000,0.500000,1.000000
11, test, 2, 1, 6, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6578105000080541, 0, 4.000000,20.000000,1.000000,6.000000,0.500000,1.000000
