subject, block_type, block, delay_condition, trial, chosen, unchosen, offer_right_image, offer_left_image, exp_value_right, exp_value_left, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task
3, practice, 1, 1, 1, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.279368000017712, 1, 1.000000,1.000000
3, practice, 1, 1, 2, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.9125648000044748, 1, 2.000000,2.000000
3, practice, 1, 1, 3, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 3.975349800020922, 1, 3.000000,3.000000
3, practice, 1, 1, 4, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 3.6550220000208355, 1, 4.000000,4.000000
3, practice, 1, 1, 5, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.6693213999969885, 0, 4.000000,4.000000
3, test, 1, 2, 1, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9407882999803405, 0, 0.000000,4.000000
3, test, 1, 2, 2, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 2.738193700002739, 0, 0.000000,4.000000
3, test, 1, 2, 3, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.401615100010531, 0, 0.000000,4.000000
3, test, 1, 2, 4, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 2.669034399994416, 0, 0.000000,4.000000
3, test, 1, 2, 5, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.8275093999982346, 1, 1.000000,5.000000
3, test, 1, 2, 6, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 2.2698042999836616, 1, 2.000000,6.000000
3, test, 1, 2, 7, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.671625800023321, 0, 2.000000,6.000000
3, test, 1, 2, 8, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.2807562999951188, 0, 2.000000,6.000000
3, test, 1, 2, 9, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 3.525529499980621, 0, 2.000000,6.000000
3, test, 1, 2, 10, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.49631719998433255, 0, 2.000000,6.000000
3, test, 1, 2, 11, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 2.747544800018659, 0, 2.000000,6.000000
3, test, 1, 2, 12, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.707152099988889, 0, 2.000000,6.000000
3, test, 1, 2, 13, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8530696999805514, 0, 2.000000,6.000000
3, test, 1, 2, 14, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 2.539796600001864, 1, 3.000000,7.000000
3, test, 1, 2, 15, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 2.9372134000004735, 0, 3.000000,7.000000
3, test, 1, 2, 16, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.769279199972516, 1, 4.000000,8.000000
3, test, 1, 2, 17, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.9296812000102364, 1, 5.000000,9.000000
3, test, 1, 2, 18, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.9246672999870498, 0, 5.000000,9.000000
3, test, 1, 2, 19, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.5793965999910142, 0, 5.000000,9.000000
3, test, 1, 2, 20, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 4.76457670002128, 1, 6.000000,10.000000
3, test, 2, 0.5, 1, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.2293983999988995, 0, 0.000000,10.000000
3, test, 2, 0.5, 2, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 2.0013307000044733, 1, 1.000000,11.000000
3, test, 2, 0.5, 3, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 2.02210470000864, 1, 2.000000,12.000000
3, test, 2, 0.5, 4, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 2.0848879999830388, 0, 2.000000,12.000000
3, test, 2, 0.5, 5, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.3716694999893662, 1, 3.000000,13.000000
3, test, 2, 0.5, 6, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 2.21793310000794, 1, 4.000000,14.000000
3, test, 2, 0.5, 7, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.7325431999925058, 1, 5.000000,15.000000
3, test, 2, 0.5, 8, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 2.645095499989111, 0, 5.000000,15.000000
3, test, 2, 0.5, 9, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 2.766303999989759, 1, 6.000000,16.000000
3, test, 2, 0.5, 10, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 2.101073700003326, 1, 7.000000,17.000000
3, test, 2, 0.5, 11, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.7899954000022262, 0, 7.000000,17.000000
3, test, 2, 0.5, 12, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.9547036000003573, 0, 7.000000,17.000000
3, test, 2, 0.5, 13, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 1.2251438999956008, 0, 7.000000,17.000000
3, test, 2, 0.5, 14, 3, 4, 3, 4, 0.55, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.2840885000186972, 1, 8.000000,18.000000
3, test, 2, 0.5, 15, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.7708353999769315, 0, 8.000000,18.000000
3, test, 2, 0.5, 16, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.060703100025421, 1, 9.000000,19.000000
3, test, 2, 0.5, 17, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.197575099999085, 1, 10.000000,20.000000
3, test, 2, 0.5, 18, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.2544803000055254, 1, 11.000000,21.000000
3, test, 2, 0.5, 19, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.7529093000048306, 1, 12.000000,22.000000
3, test, 2, 0.5, 20, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6837969000043813, 0, 12.000000,22.000000
3, test, 3, 2, 1, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9527321000059601, 0, 0.000000,22.000000
3, test, 3, 2, 2, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.8282973000023048, 0, 0.000000,22.000000
3, test, 3, 2, 3, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8076867000199854, 1, 1.000000,23.000000
3, test, 3, 2, 4, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.8150070999981835, 1, 2.000000,24.000000
3, test, 3, 2, 5, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.1637415000004694, 0, 2.000000,24.000000
3, test, 3, 2, 6, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5254533000115771, 0, 2.000000,24.000000
3, test, 3, 2, 7, 4, 1, 4, 1, 0.65, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.9197726999991573, 1, 3.000000,25.000000
3, test, 3, 2, 8, 1, 3, 1, 3, 0.35, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8160858000046574, 0, 3.000000,25.000000
3, test, 3, 2, 9, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.0077902000048198, 0, 3.000000,25.000000
3, test, 3, 2, 10, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5237845000228845, 0, 3.000000,25.000000
3, test, 3, 2, 11, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.7841850999975577, 0, 3.000000,25.000000
3, test, 3, 2, 12, 1, 4, 1, 4, 0.35, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 1.1461033999803476, 1, 4.000000,26.000000
3, test, 3, 2, 13, 4, 3, 4, 3, 0.65, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.2074585999944247, 1, 5.000000,27.000000
3, test, 3, 2, 14, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 2.1346277000266127, 0, 5.000000,27.000000
3, test, 3, 2, 15, 3, 2, 3, 2, 0.55, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.9907861999818124, 0, 5.000000,27.000000
3, test, 3, 2, 16, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.8789209999958985, 1, 6.000000,28.000000
3, test, 3, 2, 17, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7082591000071261, 0, 6.000000,28.000000
3, test, 3, 2, 18, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.48586929999873973, 1, 7.000000,29.000000
3, test, 3, 2, 19, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 2.17806949999067, 0, 7.000000,29.000000
3, test, 3, 2, 20, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 2.2316387000028044, 1, 8.000000,30.000000
3, test, 4, 0.5, 1, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 3.891187400004128, 0, 0.000000,30.000000
3, test, 4, 0.5, 2, 1, 4, 4, 1, 0.35, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6483893000113312, 0, 0.000000,30.000000
3, test, 4, 0.5, 3, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.38546609997865744, 1, 1.000000,31.000000
3, test, 4, 0.5, 4, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.2443272000236902, 1, 2.000000,32.000000
3, test, 4, 0.5, 5, 2, 3, 3, 2, 0.45, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.53509639998083, 0, 2.000000,32.000000
3, test, 4, 0.5, 6, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.7569171999930404, 1, 3.000000,33.000000
3, test, 4, 0.5, 7, 3, 1, 1, 3, 0.55, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.2731344999920111, 1, 4.000000,34.000000
3, test, 4, 0.5, 8, 3, 4, 4, 3, 0.55, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.3329991999780759, 1, 5.000000,35.000000
3, test, 4, 0.5, 9, 2, 4, 4, 2, 0.45, 0.65, right, 2, 0.35, 0.45, 0.55, 0.65, 0.756571999983862, 0, 5.000000,35.000000
3, test, 4, 0.5, 10, 4, 2, 2, 4, 0.65, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.3584201000048779, 1, 6.000000,36.000000
3, test, 4, 0.5, 11, 4, 1, 1, 4, 0.65, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 0.6405427000136115, 0, 6.000000,36.000000
3, test, 4, 0.5, 12, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 2.5514528999920003, 1, 7.000000,37.000000
3, test, 4, 0.5, 13, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 1.1593388999754097, 0, 7.000000,37.000000
